Contribution Address,STABLES Contribution,DOT EQUIV AT OTC TRADES,TokenSymbol
0x810c920f611456916bd9a9db37dbfea24987a488,"10,000",367.6565206,USDT
0x810c920f611456916bd9a9db37dbfea24987a488,"21,250",781.2701062,USDC
0x18054743197d5de28ec96d60429372391c8b9dae,213.84,7.861967036,USDT
0x33da9340402a97398d3c47b04031eac169674419,"7,500",275.7423904,USDT
0x9362680b95a295fff75d2e0753c3d3dac2787831,"6,500",238.9767384,USDC
0x7bb7e752ce21a46c85586f48e18175027c0ff889,"1,300",47.79534767,USDC
0xb941f9b7566e7108332a9ec187d222a1cc05e422,"20,000",735.3130411,USDC
0xb941f9b7566e7108332a9ec187d222a1cc05e422,"30,000",1102.969562,USDC
0xc89d39b810703dadec3e30d9fa81f1c686ba8fbb,"2,080",76.47255628,USDT
0xe0b719276ef8caa36c00ba3ac7b46bdbcb254c45,"3,851.82",141.614659,DAI
0xda03bca6e7e6017739d0535dd38e2553067d223a,3,0.1102969562,USDC
0x26cfa7371b705f6193c952ac061eaa20926b8b3f,"7,661.35",281.674455,DAI
0x3679d746dc4175d440d4166fe318775e551ca195,500,18.38282603,USDC
0x66d046521f6c91aa8432021a16d0f77fcc65436a,30,1.102969562,DAI
0x38910403c3e3eaddcc771190ce154842f219db10,"1,026.80",37.75097153,DAI
0xd455712e43582134f101a0c686d26548b5438a3b,"10,000",367.6565206,USDC
0x5771e621a795126f1146953b67443b76f03f16fe,129.675,4.767585931,USDC
0x43ac854fc562e27e103f0ea9fd835ff832139dfb,500,18.38282603,USDC
0x53aa927be0d3d0b57d8825d6f7098dba8b6bcb52,140,5.147191288,USDT
0xe48c32f1c291f957bd086c92ca2c9990adc0c148,"1,038.37",38.17623696,USDC
0xb4b969a9bb156873da5840f5fbf7626602e2cda1,"3,226.26",118.6155526,USDC
0x14eecf2f25d695d29596732f7523b5e1274660d9,"1,500",55.14847809,USDC
0x1b4b2372462b391006fac69f09066ae8504d75ec,"1,500",55.14847809,USDT
0xcbe33f591c334507b698de21e9b6eecb1b73e7ec,"7,500",275.7423904,USDC
0x21f5f331696f4e20f38a7ecb7b9589b74b3447b3,523.15,19.23395087,USDT
0x79c1134a1dfdf7e0d58e58cafc84a514991372e6,"23,073.74",848.3210357,DAI
0x3afd89fa00827c5195265d537a5a29172cee5b3a,500,18.38282603,USDT
0xe045821a556d73707a219c0cf4212b1e8cad4ff0,261.55,9.616056296,USDT
